target,geography,seed_table,importance,control_field,expression
totalLinkedTrips,GEOID,households,10,totalLinkedTrips,households.HHWGT>0
AC_Transit_[EXPRESS],GEOID,persons,1000000,AC_Transit_[EXPRESS],persons.OPERATOR == 'AC Transit [EXPRESS]'
AC_Transit_[LOCAL],GEOID,persons,1000000,AC_Transit_[LOCAL],persons.OPERATOR == 'AC Transit [LOCAL]'
ACE,GEOID,persons,1000000,ACE,persons.OPERATOR == 'ACE'
BART,GEOID,persons,1000000,BART,persons.OPERATOR == 'BART'
Caltrain,GEOID,persons,1000000,Caltrain,persons.OPERATOR == 'Caltrain'
Capitol_Corridor,GEOID,persons,1000000,Capitol_Corridor,persons.OPERATOR == 'Capitol Corridor'
County_Connection_[EXPRESS],GEOID,persons,1000000,County_Connection_[EXPRESS],persons.OPERATOR == 'County Connection [EXPRESS]'
County_Connection_[LOCAL],GEOID,persons,1000000,County_Connection_[LOCAL],persons.OPERATOR == 'County Connection [LOCAL]'
FAST_[EXPRESS],GEOID,persons,1000000,FAST_[EXPRESS],persons.OPERATOR == 'FAST [EXPRESS]'
FAST_[LOCAL],GEOID,persons,1000000,FAST_[LOCAL],persons.OPERATOR == 'FAST [LOCAL]'
Golden_Gate_Transit_[FERRY],GEOID,persons,1000000,Golden_Gate_Transit_[FERRY],persons.OPERATOR == 'Golden Gate Transit [FERRY]'
Golden_Gate_Transit_[EXPRESS],GEOID,persons,1000000,Golden_Gate_Transit_[EXPRESS],persons.OPERATOR == 'Golden Gate Transit [EXPRESS]'
LAVTA,GEOID,persons,1000000,LAVTA,persons.OPERATOR == 'LAVTA'
Marin_Transit,GEOID,persons,1000000,Marin_Transit,persons.OPERATOR == 'Marin Transit'
Napa_Vine_[EXPRESS],GEOID,persons,1000000,Napa_Vine_[EXPRESS],persons.OPERATOR == 'Napa Vine [EXPRESS]'
Napa_Vine_[LOCAL],GEOID,persons,1000000,Napa_Vine_[LOCAL],persons.OPERATOR == 'Napa Vine [LOCAL]'
Petaluma_Transit,GEOID,persons,1000000,Petaluma_Transit,persons.OPERATOR == 'Petaluma Transit'
Rio_Vista_Delta_Breeze,GEOID,persons,1000000,Rio_Vista_Delta_Breeze,persons.OPERATOR == 'Rio Vista Delta Breeze'
SamTrans_[EXPRESS],GEOID,persons,1000000,SamTrans_[EXPRESS],persons.OPERATOR == 'SamTrans [EXPRESS]'
SamTrans_[LOCAL],GEOID,persons,1000000,SamTrans_[LOCAL],persons.OPERATOR == 'SamTrans [LOCAL]'
Santa_Rosa_CityBus,GEOID,persons,1000000,Santa_Rosa_CityBus,persons.OPERATOR == 'Santa Rosa CityBus'
SF_Bay_Ferry/WETA,GEOID,persons,1000000,SF_Bay_Ferry/WETA,persons.OPERATOR == 'SF Bay Ferry/WETA'
SF_Muni_[LOCAL],GEOID,persons,1000000,SF_Muni_[LOCAL],persons.OPERATOR == 'SF Muni [LOCAL]'
SF_Muni_[LRT],GEOID,persons,1000000,SF_Muni_[LRT],persons.OPERATOR == 'SF Muni [LRT]'
Soltrans_[EXPRESS],GEOID,persons,1000000,Soltrans_[EXPRESS],persons.OPERATOR == 'Soltrans [EXPRESS]'
Soltrans_[LOCAL],GEOID,persons,1000000,Soltrans_[LOCAL],persons.OPERATOR == 'Soltrans [LOCAL]'
Sonoma_County_Transit,GEOID,persons,1000000,Sonoma_County_Transit,persons.OPERATOR == 'Sonoma County Transit'
TriDelta,GEOID,persons,1000000,TriDelta,persons.OPERATOR == 'TriDelta'
Union_City_Transit,GEOID,persons,1000000,Union_City_Transit,persons.OPERATOR == 'Union City Transit'
Vacaville_City_Coach,GEOID,persons,1000000,Vacaville_City_Coach,persons.OPERATOR == 'Vacaville City Coach'
VTA_[EXPRESS],GEOID,persons,1000000,VTA_[EXPRESS],persons.OPERATOR == 'VTA [EXPRESS]'
VTA_[LOCAL],GEOID,persons,1000000,VTA_[LOCAL],persons.OPERATOR == 'VTA [LOCAL]'
VTA_[LRT],GEOID,persons,1000000,VTA_[LRT],persons.OPERATOR == 'VTA [LRT]'
WestCAT_[EXPRESS],GEOID,persons,1000000,WestCAT_[EXPRESS],persons.OPERATOR == 'WestCAT [EXPRESS]'
WestCAT_[LOCAL],GEOID,persons,1000000,WestCAT_[LOCAL],persons.OPERATOR == 'WestCAT [LOCAL]'
XFERS_LB_CR,GEOID,persons,1000000,XFERS_LB_CR,(persons.LB_CR==1) & (persons.SURVEY_MODE =='LB')
XFERS_LB_HR,GEOID,persons,1000000,XFERS_LB_HR,(persons.LB_HR==1) & (persons.SURVEY_MODE == 'HR')
XFERS_LB_LR,GEOID,persons,1000000,XFERS_LB_LR,(persons.LB_LR==1) & (persons.SURVEY_MODE == 'LB')
XFERS_LB_FR,GEOID,persons,1000000,XFERS_LB_FR,(persons.LB_FR==1) & (persons.SURVEY_MODE == 'LB')
XFERS_LB_EB,GEOID,persons,1000000,XFERS_LB_EB,(persons.LB_EB==1) & (persons.SURVEY_MODE == 'LB')
XFERS_EB_CR,GEOID,persons,1000000000,XFERS_EB_CR,(persons.EB_CR==1) & (persons.SURVEY_MODE == 'CR')
XFERS_EB_HR,GEOID,persons,1000000000,XFERS_EB_HR,(persons.EB_HR==1) & (persons.SURVEY_MODE == 'HR')
XFERS_EB_LR,GEOID,persons,1000000000,XFERS_EB_LR,(persons.EB_LR==1) & (persons.SURVEY_MODE == 'LR')
XFERS_FR_LR,GEOID,persons,1000000,XFERS_FR_LR,(persons.FR_LR==1) & (persons.SURVEY_MODE == 'LR')
XFERS_LR_CR,GEOID,persons,1000000,XFERS_LR_CR,(persons.LR_CR==1) & (persons.SURVEY_MODE == 'LR')
XFERS_LR_HR,GEOID,persons,1000000,XFERS_LR_HR,(persons.LR_HR==1) & (persons.SURVEY_MODE == 'HR')
XFERS_HR_CR,GEOID,persons,1000000000,XFERS_HR_CR,(persons.HR_CR==1) & (persons.SURVEY_MODE == 'CR')
